feature,coefficient,abs_coeff
energy,-0.10595709506376993,0.10595709506376993
popularity,0.07898063303832867,0.07898063303832867
acousticness,0.07236324897998116,0.07236324897998116
liveness,0.039140468278807246,0.039140468278807246
instrumentalness,0.03602685260232641,0.03602685260232641
duration_ms,-0.03453413491375259,0.03453413491375259
speechiness,0.031072701533755454,0.031072701533755454
loudness,0.028838363329600717,0.028838363329600717
valence,0.011688722770723452,0.011688722770723452
danceability,-0.011014805036044422,0.011014805036044422
tempo,-0.009334263211326571,0.009334263211326571
